8,3.55866188205753,1,3,3,6,2,1,10,2,5,9,1,3,2,3,0,5,3,1,2,9,70,1,59,100,1,60,5,10,40,30,70,50,70,20,6,4,8,2,39,2,2,1
3.5,2.27643482144156,1,5,3,6,2,1,10,0,5,10,1,1,6,4,0,0,3,0,3,10,51,40,100,100,52,0,5,5,61,62,40,0,50,0,10,10,6,7,36,2,3,9
6,5.08212761252085,1,9,5,1,2,1,10,0,5,7,1,7,6,6,6,5,7,2,4,8,70,19,66,71,40,81,8,12,30,31,50,49,60,61,1,0,5,7,21,2,3,7
0,0.437305661746601,-1,3,2,6,2,1,10,0,0,5,1,1,6,1,0,0,1,2,2,10,30,26,90,90,2,21,0,6,17,90,86,8,8,2,5,0,4,6,30,1,2,1
10,1.46935383272209,1,5,3,3,2,1,10,0,0,0,1,0,4,1,0,0,4,0,3,10,69,29,70,29,9,1,2,10,91,50,50,81,80,80,4,2,3,7,28,1,1,4
3.5,1.11255565331678,1,3,2,6,2,1,10,0,5,7,1,7,10,5,5,6,8,9,6,10,90,50,80,80,0,30,2,5,100,71,50,81,81,29,9,7,1,7,44,2,1,2
5,4.0434407628383,1,6,1,1,2,1,10,0,5,5,1,9,9,5,8,4,7,8,4,8,81,10,50,50,0,0,2,5,61,71,70,10,10,70,6,6,7,7,34,2,1,8
1.5,1.52231002053702,-1,10,4,4,2,1,10,0,1,2,1,0,9,2,0,0,7,5,2,10,70,0,84,95,89,1,2,10,84,28,57,12,64,56,10,9,3,5,30,2,6,5
2,3.46569918926581,-1,5,2,2,2,1,10,0,1,5,1,3,4,3,0,3,3,0,5,10,60,9,100,61,54,4,2,25,90,91,60,90,49,60,4,1,2,7,31,2,6,2
3.5,3.88156200890547,-1,2,2,3,2,1,10,0,5,5,1,10,6,5,6,5,9,10,6,10,100,40,100,100,8,18,6,10,81,100,60,19,19,0,8,2,10,7,7,2,1,3
2,1.37334858694575,1,6,2,3,2,1,10,0,5,5,1,5,6,5,0,5,10,10,2,10,50,50,50,100,0,10,0,2,50,50,50,9,19,0,6,4,10,7,17,1,1,7
4,1.61513834362816,1,8,5,4,2,1,10,0,4,8,1,4,8,4,1,2,6,2,3,10,80,91,100,72,81,10,5,10,71,81,81,10,66,93,7,2,9,7,28,2,3,5
2,5.20718423502134,-1,1,4,5,2,1,10,8,7,6,2,10,6,9,8,8,10,9,4,10,100,0,0,100,57,55,10,5,29,60,100,70,19,19,8,10,10,6,22,2,3,5
3,5.4891314066856,-1,4,2,1,2,1,10,8,5,5,1,5,5,5,5,5,5,5,2,6,30,4,76,40,79,53,2,5,70,57,51,50,50,50,5,6,7,4,13,1,1,1
2,1.28875299220853,1,1,3,1,1,8,0,0,6,8,1,9,8,7,5,7,9,2,3,10,80,0,0,95,44,64,2.5,10,51,36,86,70,52,65,7,4,8,7,24,2,4,3
2,1.79841053021314,1,3,2,5,2,1,10,0,5,5,1,10,0,5,1,0,5,8,4,10,50,0,100,0,0,0,1,10,100,100,50,0,100,0,1,0,10,7,12,1,1,4
1.5,2.94237409608875,-1,5,2,1,2,1,10,2,3,8,1,0,6,0,0,3,2,0,5,10,50,0,100,70,9,11,5,5,80,80,9,10,58,9,10,7,3,7,29,2,6,10
0.5,6.05286848929475,-1,2,3,3,2,1,10,0,1,2,1,0,1,0,0,1,0,0,2,6,9,70,90,70,64,50,0.5,2,97,59,91,5,6,6,2,0,7,6,9,1,3,3
4,1.95966494357524,1,4,3,3,2,1,10,0,5,5,1,3,8,5,0,0,4,0,3,10,14,13,85,0,0,0,3,6,93,87,52,22,38,28,7,6,6,5,21,2,6,2
3,5.33346840592174,-1,6,3,3,1,3,1,0,5,5,1,9,5,9,5,5,10,10,5,10,100,40,50,49,50,20,1,5,100,60,100,50,50,49,10,8,5,7,30,2,1,7
1.5,0.544310280053546,1,7,3,3,2,1,10,0,5,5,1,5,5,5,1,5,6,6,4,8,71,70,70,24,14,14,1,3.5,75,70,60,50,50,50,2,1,5,7,9,1,8,1
4,2.38772413233836,1,2,1,3,2,1,10,3,5,7,2,7,4,6,1,5,7,1,4,7,78,20,49,39,10,33,2.5,6,81,52,59,68,33,37,7,1,7,7,26,1,1,5
5,1.17946723207314,1,3,1,6,2,1,10,0,4,6,1,6,7,5,0,0,6,8,3,7,80,80,80,18,50,9,0,12,91,0,31,0,0,0,0,0,0,5,25,1,1,5
5.5,2.38982837142036,1,4,3,2,2,1,10,6,7,9,2,8,8,8,1,7,9,8,3,10,98,89,10,40,1,1,4,5,99,70,97,4,21,4,5,5,7,7,56,2,7,10
2,4.35282271769428,-1,8,3,2,2,1,10,4,2,6,1,2,8,2,0,1,1,0,3,8,41,1,99,21,1,1,4,25,100,80,93,100,6,60,2,6,10,6,17,2,6,6
3.5,0.455908383494991,1,4,3,6,2,1,10,2,5,5,1,5,8,5,0,1,7,1,3,3,71,50,30,20,51,81,1,6.5,70,66,51,1,1,19,2,1,7,6,16,1,4,1
1.5,0.577548914314353,1,3,2,2,2,1,10,0,0,0,1,2,4,2,0,0,0,0,6,8,63,100,100,73,28,21,7,12,95,85,33,19,63,100,9,0,8,7,2,1,4,2
1.5,3.86113910944188,-1,0,2,1,2,1,10,0,2,2,1,7,1,4,1,1,6,2,3,5,19,0,12,24,1,0,3,3,56,41,40,1,1,0,6,7,6,7,21,1,1,10
1,5.57037353895659,-1,4,2,2,2,1,10,0,7,5,1,9,5,8,3,3,8,4,4,10,76,50,57,53,53,70,4,6,99,61,53,30,29,46,7,5,2,7,29,2,6,8
3,1.29811569351197,1,7,1,1,1,7,3,0,5,5,1,8,5,6,2,0,7,7,3,8,71,50,39,91,0,0,5,20,81,50,61,4,51,0,9,10,4,7,13,2,1,10
10,0.583483457533581,1,6,3,3,2,1,10,10,10,6,3,10,8,10,7,10,10,7,4,10,80,30,80,71,70,29,12,14,51,50,86,70,71,81,4,3,7,4,28,2,2,2
4,4.1053238348331,-1,8,3,4,2,1,10,2,7,10,1,10,10,10,10,10,10,10,3,9,91,15,44,75,65,75,1.5,4,22,32,89,67,68,73,4,6,4,7,18,1,1,6
1,4.71126571179568,-1,5,2,5,2,1,10,0,0,0,1,5,5,5,1,0,7,5,4,10,71,11,78,91,86,12,3,4,81,81,59,26,69,2,10,7,8,6,28,2,6,1
5,0.962004814649185,1,4,2,2,1,7,7,2,7,6,1,8,8,8,8,8,8,8,4,8,95,0,40,78,3,85,4,7,78,78,89,51,18,72,5,9,9,7,20,2,2,2
4,2.72928882082144,1,8,3,3,2,1,10,0,5,5,1,5,6,5,5,4,8,7,3,10,60,70,73,84,32,33,3.5,5,73,72,50,50,40,41,7,3,7,6,40,2,3,3
7.5,2.10055485086921,1,3,3,2,2,1,10,0,5,9,1,5,10,5,4,0,10,4,2,8,50,50,50,0,0,76,2.5,10,75,100,50,50,50,50,8,9,3,7,8,1,5,5
4,3.52029695160912,1,7,5,2,1,10,8,1,7,3,1,6,5,6,1,3,6,4,4,9,65,2,77,87,46,61,5,20,33,47,65,29,71,3,9,10,10,7,12,1,1,4
