3,0.719241416436241,1,10,4,4,2,1,10,10,8,6,4,7,7,7,10,10,7,10,4,10,81,20,89,50,0,0,10,20,71,70,70,81,50,29,1,2,8,6,21,2,1,3
1,1.92224242548889,-1,5,2,1,2,1,10,10,10,4,2,5,7,6,1,2,7,8,2,10,50,11,100,21,21,20,0,1,100,60,50,49,50,39,8,10,8,2,29,1,1,2
1.5,1.72116936468619,-1,7,4,2,2,1,10,10,8,5,3,7,5,6,1,2,7,6,3,8,90,31,78,85,28,82,3,6.5,66,31,84,51,40,83,1,0,6,6,23,1,1,6
0.8,1.12428124824887,-1,0,2,3,2,1,10,10,10,4,4,10,4,10,8,9,10,8,5,8,51,100,81,50,1,51,5,6,68,68,8,0,32,0,8,1,1,7,17,2,6,3
2.5,3.10136354750945,-1,5,3,2,2,1,10,8,6,4,2,7,6,6,1,2,6,1,3,7,50,54,76,15,61,40,2,15,70,50,49,0,31,11,4,2,7,7,9,2,2,3
1,1.51419522974265,-1,3,3,6,2,1,10,10,1,1,1,1,2,2,0,1,1,0,2,9,70,1,59,100,1,60,5,10,40,30,70,50,70,20,6,4,8,2,39,2,2,1
1,1.66992888102271,-1,5,3,6,2,1,10,10,10,3,3,6,6,10,6,7,7,5,3,10,51,40,100,100,52,0,5,5,61,62,40,0,50,0,10,10,6,7,36,2,3,9
1,0.97991980002414,1,9,5,1,2,1,10,10,3,3,2,5,3,3,0,1,3,0,4,8,70,19,66,71,40,81,8,12,30,31,50,49,60,61,1,0,5,7,21,2,3,7
0,0.629763442925986,-1,3,2,6,2,1,10,10,3,2,2,1,2,2,0,0,1,1,2,10,30,26,90,90,2,21,0,6,17,90,86,8,8,2,5,0,4,6,30,1,2,1
4,0.664782386368449,1,5,3,3,2,1,10,10,10,9,5,10,8,9,6,8,9,9,3,10,69,29,70,29,9,1,2,10,91,50,50,81,80,80,4,2,3,7,28,1,1,4
2,1.35600903498433,1,3,2,6,2,1,10,10,10,6,5,5,7,10,10,10,10,6,6,10,90,50,80,80,0,30,2,5,100,71,50,81,81,29,9,7,1,7,44,2,1,2
1,0.764484913814029,1,6,1,1,2,1,10,9,7,3,3,0,7,7,8,5,7,6,4,8,81,10,50,50,0,0,2,5,61,71,70,10,10,70,6,6,7,7,34,2,1,8
0,0.67051108825971,-1,10,4,4,2,1,10,10,0,0,1,0,2,0,0,0,0,0,2,10,70,0,84,95,89,1,2,10,84,28,57,12,64,56,10,9,3,5,30,2,6,5
1,0.958462657282676,1,5,2,2,2,1,10,10,8,5,3,2,4,3,8,5,3,0,5,10,60,9,100,61,54,4,2,25,90,91,60,90,49,60,4,1,2,7,31,2,6,2
1.5,0.577511473640283,1,2,2,3,2,1,10,10,10,7,5,10,10,10,10,10,10,10,6,10,100,40,100,100,8,18,6,10,81,100,60,19,19,0,8,2,10,7,7,2,1,3
1,6.16388418138452,-1,6,2,3,2,1,10,10,10,6,1,10,9,10,3,5,10,10,2,10,50,50,50,100,0,10,0,2,50,50,50,9,19,0,6,4,10,7,17,1,1,7
5,0.75654123802686,1,8,5,4,2,1,10,10,10,8,3,10,10,10,9,10,10,10,3,10,80,91,100,72,81,10,5,10,71,81,81,10,66,93,7,2,9,7,28,2,3,5
0,1.07943091240598,-1,1,4,5,2,1,10,9,0,4,1,0,0,0,0,0,0,0,4,10,100,0,0,100,57,55,10,5,29,60,100,70,19,19,8,10,10,6,22,2,3,5
1,0.719241523082898,1,4,2,1,2,1,10,9,6,6,2,6,6,6,6,6,6,6,2,6,30,4,76,40,79,53,2,5,70,57,51,50,50,50,5,6,7,4,13,1,1,1
0,1.47171212164675,-1,1,3,1,1,8,0,10,6,1,3,0,5,0,0,0,0,0,3,10,80,0,0,95,44,64,2.5,10,51,36,86,70,52,65,7,4,8,7,24,2,4,3
